상호명,구분,주소,회차
지원물산,자동,"서울 노원구 공릉로 108,(공릉동) ",1000
로또 명당,자동,대구 동구 화랑로75길 69 ,1000
초원복권 신창점,자동,광주 광산구 신창로 76 1층,1000
대전우표사,자동,대전 동구 중앙로204번길 16-1 ,1000
대한유통,자동,울산 북구 박상진11로 1 1층112호,1000
몽키버블티,자동,경기 군포시 고산로250번길 27 1층 일부호(당동),1000
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1000
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1000
행운복권방,수동,경기 안성시 서동대로 7184 1층 복권방,1000
로또복권합정점,수동,경기 평택시 중앙로 176 127호 평택합정 SK뷰 주상복합,1000
세븐일레븐화성봉담수기점,자동,경기 화성시 세자로 358 ,1000
포항오거리CU복권,자동,경북 포항시 북구 죽도로 33 CU포항오거리점내,1000
삼정상회,자동,경남 김해시 활천로 23 가동 109호 복권판매점,1000
목화휴게소,자동,경남 사천시 사천대로 912 ,1000
신세계,자동,제주 제주시 고마로14길 7 ,1000
지원물산,자동,"서울 노원구 공릉로 108,(공릉동) ",1001
로또 명당,자동,대구 동구 화랑로75길 69 ,1001
초원복권 신창점,자동,광주 광산구 신창로 76 1층,1001
대전우표사,자동,대전 동구 중앙로204번길 16-1 ,1001
대한유통,자동,울산 북구 박상진11로 1 1층112호,1001
몽키버블티,자동,경기 군포시 고산로250번길 27 1층 일부호(당동),1001
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1001
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1001
행운복권방,수동,경기 안성시 서동대로 7184 1층 복권방,1001
로또복권합정점,수동,경기 평택시 중앙로 176 127호 평택합정 SK뷰 주상복합,1001
세븐일레븐화성봉담수기점,자동,경기 화성시 세자로 358 ,1001
포항오거리CU복권,자동,경북 포항시 북구 죽도로 33 CU포항오거리점내,1001
삼정상회,자동,경남 김해시 활천로 23 가동 109호 복권판매점,1001
목화휴게소,자동,경남 사천시 사천대로 912 ,1001
신세계,자동,제주 제주시 고마로14길 7 ,1001
지원물산,자동,"서울 노원구 공릉로 108,(공릉동) ",1002
로또 명당,자동,대구 동구 화랑로75길 69 ,1002
초원복권 신창점,자동,광주 광산구 신창로 76 1층,1002
대전우표사,자동,대전 동구 중앙로204번길 16-1 ,1002
대한유통,자동,울산 북구 박상진11로 1 1층112호,1002
몽키버블티,자동,경기 군포시 고산로250번길 27 1층 일부호(당동),1002
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1002
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1002
행운복권방,수동,경기 안성시 서동대로 7184 1층 복권방,1002
로또복권합정점,수동,경기 평택시 중앙로 176 127호 평택합정 SK뷰 주상복합,1002
세븐일레븐화성봉담수기점,자동,경기 화성시 세자로 358 ,1002
포항오거리CU복권,자동,경북 포항시 북구 죽도로 33 CU포항오거리점내,1002
삼정상회,자동,경남 김해시 활천로 23 가동 109호 복권판매점,1002
목화휴게소,자동,경남 사천시 사천대로 912 ,1002
신세계,자동,제주 제주시 고마로14길 7 ,1002
지원물산,자동,"서울 노원구 공릉로 108,(공릉동) ",1003
로또 명당,자동,대구 동구 화랑로75길 69 ,1003
초원복권 신창점,자동,광주 광산구 신창로 76 1층,1003
대전우표사,자동,대전 동구 중앙로204번길 16-1 ,1003
대한유통,자동,울산 북구 박상진11로 1 1층112호,1003
몽키버블티,자동,경기 군포시 고산로250번길 27 1층 일부호(당동),1003
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1003
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1003
행운복권방,수동,경기 안성시 서동대로 7184 1층 복권방,1003
로또복권합정점,수동,경기 평택시 중앙로 176 127호 평택합정 SK뷰 주상복합,1003
세븐일레븐화성봉담수기점,자동,경기 화성시 세자로 358 ,1003
포항오거리CU복권,자동,경북 포항시 북구 죽도로 33 CU포항오거리점내,1003
삼정상회,자동,경남 김해시 활천로 23 가동 109호 복권판매점,1003
목화휴게소,자동,경남 사천시 사천대로 912 ,1003
신세계,자동,제주 제주시 고마로14길 7 ,1003
지원물산,자동,"서울 노원구 공릉로 108,(공릉동) ",1004
로또 명당,자동,대구 동구 화랑로75길 69 ,1004
초원복권 신창점,자동,광주 광산구 신창로 76 1층,1004
대전우표사,자동,대전 동구 중앙로204번길 16-1 ,1004
대한유통,자동,울산 북구 박상진11로 1 1층112호,1004
몽키버블티,자동,경기 군포시 고산로250번길 27 1층 일부호(당동),1004
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1004
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1004
행운복권방,수동,경기 안성시 서동대로 7184 1층 복권방,1004
로또복권합정점,수동,경기 평택시 중앙로 176 127호 평택합정 SK뷰 주상복합,1004
세븐일레븐화성봉담수기점,자동,경기 화성시 세자로 358 ,1004
포항오거리CU복권,자동,경북 포항시 북구 죽도로 33 CU포항오거리점내,1004
삼정상회,자동,경남 김해시 활천로 23 가동 109호 복권판매점,1004
목화휴게소,자동,경남 사천시 사천대로 912 ,1004
신세계,자동,제주 제주시 고마로14길 7 ,1004
지원물산,자동,"서울 노원구 공릉로 108,(공릉동) ",1005
로또 명당,자동,대구 동구 화랑로75길 69 ,1005
초원복권 신창점,자동,광주 광산구 신창로 76 1층,1005
대전우표사,자동,대전 동구 중앙로204번길 16-1 ,1005
대한유통,자동,울산 북구 박상진11로 1 1층112호,1005
몽키버블티,자동,경기 군포시 고산로250번길 27 1층 일부호(당동),1005
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1005
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1005
행운복권방,수동,경기 안성시 서동대로 7184 1층 복권방,1005
로또복권합정점,수동,경기 평택시 중앙로 176 127호 평택합정 SK뷰 주상복합,1005
세븐일레븐화성봉담수기점,자동,경기 화성시 세자로 358 ,1005
포항오거리CU복권,자동,경북 포항시 북구 죽도로 33 CU포항오거리점내,1005
삼정상회,자동,경남 김해시 활천로 23 가동 109호 복권판매점,1005
목화휴게소,자동,경남 사천시 사천대로 912 ,1005
신세계,자동,제주 제주시 고마로14길 7 ,1005
지원물산,자동,"서울 노원구 공릉로 108,(공릉동) ",1006
로또 명당,자동,대구 동구 화랑로75길 69 ,1006
초원복권 신창점,자동,광주 광산구 신창로 76 1층,1006
대전우표사,자동,대전 동구 중앙로204번길 16-1 ,1006
대한유통,자동,울산 북구 박상진11로 1 1층112호,1006
몽키버블티,자동,경기 군포시 고산로250번길 27 1층 일부호(당동),1006
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1006
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1006
행운복권방,수동,경기 안성시 서동대로 7184 1층 복권방,1006
로또복권합정점,수동,경기 평택시 중앙로 176 127호 평택합정 SK뷰 주상복합,1006
세븐일레븐화성봉담수기점,자동,경기 화성시 세자로 358 ,1006
포항오거리CU복권,자동,경북 포항시 북구 죽도로 33 CU포항오거리점내,1006
삼정상회,자동,경남 김해시 활천로 23 가동 109호 복권판매점,1006
목화휴게소,자동,경남 사천시 사천대로 912 ,1006
신세계,자동,제주 제주시 고마로14길 7 ,1006
지원물산,자동,"서울 노원구 공릉로 108,(공릉동) ",1007
로또 명당,자동,대구 동구 화랑로75길 69 ,1007
초원복권 신창점,자동,광주 광산구 신창로 76 1층,1007
대전우표사,자동,대전 동구 중앙로204번길 16-1 ,1007
대한유통,자동,울산 북구 박상진11로 1 1층112호,1007
몽키버블티,자동,경기 군포시 고산로250번길 27 1층 일부호(당동),1007
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1007
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1007
행운복권방,수동,경기 안성시 서동대로 7184 1층 복권방,1007
로또복권합정점,수동,경기 평택시 중앙로 176 127호 평택합정 SK뷰 주상복합,1007
세븐일레븐화성봉담수기점,자동,경기 화성시 세자로 358 ,1007
포항오거리CU복권,자동,경북 포항시 북구 죽도로 33 CU포항오거리점내,1007
삼정상회,자동,경남 김해시 활천로 23 가동 109호 복권판매점,1007
목화휴게소,자동,경남 사천시 사천대로 912 ,1007
신세계,자동,제주 제주시 고마로14길 7 ,1007
지원물산,자동,"서울 노원구 공릉로 108,(공릉동) ",1008
로또 명당,자동,대구 동구 화랑로75길 69 ,1008
초원복권 신창점,자동,광주 광산구 신창로 76 1층,1008
대전우표사,자동,대전 동구 중앙로204번길 16-1 ,1008
대한유통,자동,울산 북구 박상진11로 1 1층112호,1008
몽키버블티,자동,경기 군포시 고산로250번길 27 1층 일부호(당동),1008
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1008
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1008
행운복권방,수동,경기 안성시 서동대로 7184 1층 복권방,1008
로또복권합정점,수동,경기 평택시 중앙로 176 127호 평택합정 SK뷰 주상복합,1008
세븐일레븐화성봉담수기점,자동,경기 화성시 세자로 358 ,1008
포항오거리CU복권,자동,경북 포항시 북구 죽도로 33 CU포항오거리점내,1008
삼정상회,자동,경남 김해시 활천로 23 가동 109호 복권판매점,1008
목화휴게소,자동,경남 사천시 사천대로 912 ,1008
신세계,자동,제주 제주시 고마로14길 7 ,1008
지원물산,자동,"서울 노원구 공릉로 108,(공릉동) ",1009
로또 명당,자동,대구 동구 화랑로75길 69 ,1009
초원복권 신창점,자동,광주 광산구 신창로 76 1층,1009
대전우표사,자동,대전 동구 중앙로204번길 16-1 ,1009
대한유통,자동,울산 북구 박상진11로 1 1층112호,1009
몽키버블티,자동,경기 군포시 고산로250번길 27 1층 일부호(당동),1009
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1009
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1009
행운복권방,수동,경기 안성시 서동대로 7184 1층 복권방,1009
로또복권합정점,수동,경기 평택시 중앙로 176 127호 평택합정 SK뷰 주상복합,1009
세븐일레븐화성봉담수기점,자동,경기 화성시 세자로 358 ,1009
포항오거리CU복권,자동,경북 포항시 북구 죽도로 33 CU포항오거리점내,1009
삼정상회,자동,경남 김해시 활천로 23 가동 109호 복권판매점,1009
목화휴게소,자동,경남 사천시 사천대로 912 ,1009
신세계,자동,제주 제주시 고마로14길 7 ,1009
지원물산,자동,"서울 노원구 공릉로 108,(공릉동) ",1010
로또 명당,자동,대구 동구 화랑로75길 69 ,1010
초원복권 신창점,자동,광주 광산구 신창로 76 1층,1010
대전우표사,자동,대전 동구 중앙로204번길 16-1 ,1010
대한유통,자동,울산 북구 박상진11로 1 1층112호,1010
몽키버블티,자동,경기 군포시 고산로250번길 27 1층 일부호(당동),1010
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1010
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1010
행운복권방,수동,경기 안성시 서동대로 7184 1층 복권방,1010
로또복권합정점,수동,경기 평택시 중앙로 176 127호 평택합정 SK뷰 주상복합,1010
세븐일레븐화성봉담수기점,자동,경기 화성시 세자로 358 ,1010
포항오거리CU복권,자동,경북 포항시 북구 죽도로 33 CU포항오거리점내,1010
삼정상회,자동,경남 김해시 활천로 23 가동 109호 복권판매점,1010
목화휴게소,자동,경남 사천시 사천대로 912 ,1010
신세계,자동,제주 제주시 고마로14길 7 ,1010
지원물산,자동,"서울 노원구 공릉로 108,(공릉동) ",1011
로또 명당,자동,대구 동구 화랑로75길 69 ,1011
초원복권 신창점,자동,광주 광산구 신창로 76 1층,1011
대전우표사,자동,대전 동구 중앙로204번길 16-1 ,1011
대한유통,자동,울산 북구 박상진11로 1 1층112호,1011
몽키버블티,자동,경기 군포시 고산로250번길 27 1층 일부호(당동),1011
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1011
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1011
행운복권방,수동,경기 안성시 서동대로 7184 1층 복권방,1011
로또복권합정점,수동,경기 평택시 중앙로 176 127호 평택합정 SK뷰 주상복합,1011
세븐일레븐화성봉담수기점,자동,경기 화성시 세자로 358 ,1011
포항오거리CU복권,자동,경북 포항시 북구 죽도로 33 CU포항오거리점내,1011
삼정상회,자동,경남 김해시 활천로 23 가동 109호 복권판매점,1011
목화휴게소,자동,경남 사천시 사천대로 912 ,1011
신세계,자동,제주 제주시 고마로14길 7 ,1011
지원물산,자동,"서울 노원구 공릉로 108,(공릉동) ",1012
로또 명당,자동,대구 동구 화랑로75길 69 ,1012
초원복권 신창점,자동,광주 광산구 신창로 76 1층,1012
대전우표사,자동,대전 동구 중앙로204번길 16-1 ,1012
대한유통,자동,울산 북구 박상진11로 1 1층112호,1012
몽키버블티,자동,경기 군포시 고산로250번길 27 1층 일부호(당동),1012
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1012
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1012
행운복권방,수동,경기 안성시 서동대로 7184 1층 복권방,1012
로또복권합정점,수동,경기 평택시 중앙로 176 127호 평택합정 SK뷰 주상복합,1012
세븐일레븐화성봉담수기점,자동,경기 화성시 세자로 358 ,1012
포항오거리CU복권,자동,경북 포항시 북구 죽도로 33 CU포항오거리점내,1012
삼정상회,자동,경남 김해시 활천로 23 가동 109호 복권판매점,1012
목화휴게소,자동,경남 사천시 사천대로 912 ,1012
신세계,자동,제주 제주시 고마로14길 7 ,1012
지원물산,자동,"서울 노원구 공릉로 108,(공릉동) ",1013
로또 명당,자동,대구 동구 화랑로75길 69 ,1013
초원복권 신창점,자동,광주 광산구 신창로 76 1층,1013
대전우표사,자동,대전 동구 중앙로204번길 16-1 ,1013
대한유통,자동,울산 북구 박상진11로 1 1층112호,1013
몽키버블티,자동,경기 군포시 고산로250번길 27 1층 일부호(당동),1013
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1013
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1013
행운복권방,수동,경기 안성시 서동대로 7184 1층 복권방,1013
로또복권합정점,수동,경기 평택시 중앙로 176 127호 평택합정 SK뷰 주상복합,1013
세븐일레븐화성봉담수기점,자동,경기 화성시 세자로 358 ,1013
포항오거리CU복권,자동,경북 포항시 북구 죽도로 33 CU포항오거리점내,1013
삼정상회,자동,경남 김해시 활천로 23 가동 109호 복권판매점,1013
목화휴게소,자동,경남 사천시 사천대로 912 ,1013
신세계,자동,제주 제주시 고마로14길 7 ,1013
지원물산,자동,"서울 노원구 공릉로 108,(공릉동) ",1014
로또 명당,자동,대구 동구 화랑로75길 69 ,1014
초원복권 신창점,자동,광주 광산구 신창로 76 1층,1014
대전우표사,자동,대전 동구 중앙로204번길 16-1 ,1014
대한유통,자동,울산 북구 박상진11로 1 1층112호,1014
몽키버블티,자동,경기 군포시 고산로250번길 27 1층 일부호(당동),1014
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1014
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1014
행운복권방,수동,경기 안성시 서동대로 7184 1층 복권방,1014
로또복권합정점,수동,경기 평택시 중앙로 176 127호 평택합정 SK뷰 주상복합,1014
세븐일레븐화성봉담수기점,자동,경기 화성시 세자로 358 ,1014
포항오거리CU복권,자동,경북 포항시 북구 죽도로 33 CU포항오거리점내,1014
삼정상회,자동,경남 김해시 활천로 23 가동 109호 복권판매점,1014
목화휴게소,자동,경남 사천시 사천대로 912 ,1014
신세계,자동,제주 제주시 고마로14길 7 ,1014
지원물산,자동,"서울 노원구 공릉로 108,(공릉동) ",1015
로또 명당,자동,대구 동구 화랑로75길 69 ,1015
초원복권 신창점,자동,광주 광산구 신창로 76 1층,1015
대전우표사,자동,대전 동구 중앙로204번길 16-1 ,1015
대한유통,자동,울산 북구 박상진11로 1 1층112호,1015
몽키버블티,자동,경기 군포시 고산로250번길 27 1층 일부호(당동),1015
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1015
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1015
행운복권방,수동,경기 안성시 서동대로 7184 1층 복권방,1015
로또복권합정점,수동,경기 평택시 중앙로 176 127호 평택합정 SK뷰 주상복합,1015
세븐일레븐화성봉담수기점,자동,경기 화성시 세자로 358 ,1015
포항오거리CU복권,자동,경북 포항시 북구 죽도로 33 CU포항오거리점내,1015
삼정상회,자동,경남 김해시 활천로 23 가동 109호 복권판매점,1015
목화휴게소,자동,경남 사천시 사천대로 912 ,1015
신세계,자동,제주 제주시 고마로14길 7 ,1015
지원물산,자동,"서울 노원구 공릉로 108,(공릉동) ",1016
로또 명당,자동,대구 동구 화랑로75길 69 ,1016
초원복권 신창점,자동,광주 광산구 신창로 76 1층,1016
대전우표사,자동,대전 동구 중앙로204번길 16-1 ,1016
대한유통,자동,울산 북구 박상진11로 1 1층112호,1016
몽키버블티,자동,경기 군포시 고산로250번길 27 1층 일부호(당동),1016
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1016
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1016
행운복권방,수동,경기 안성시 서동대로 7184 1층 복권방,1016
로또복권합정점,수동,경기 평택시 중앙로 176 127호 평택합정 SK뷰 주상복합,1016
세븐일레븐화성봉담수기점,자동,경기 화성시 세자로 358 ,1016
포항오거리CU복권,자동,경북 포항시 북구 죽도로 33 CU포항오거리점내,1016
삼정상회,자동,경남 김해시 활천로 23 가동 109호 복권판매점,1016
목화휴게소,자동,경남 사천시 사천대로 912 ,1016
신세계,자동,제주 제주시 고마로14길 7 ,1016
지원물산,자동,"서울 노원구 공릉로 108,(공릉동) ",1017
로또 명당,자동,대구 동구 화랑로75길 69 ,1017
초원복권 신창점,자동,광주 광산구 신창로 76 1층,1017
대전우표사,자동,대전 동구 중앙로204번길 16-1 ,1017
대한유통,자동,울산 북구 박상진11로 1 1층112호,1017
몽키버블티,자동,경기 군포시 고산로250번길 27 1층 일부호(당동),1017
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1017
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1017
행운복권방,수동,경기 안성시 서동대로 7184 1층 복권방,1017
로또복권합정점,수동,경기 평택시 중앙로 176 127호 평택합정 SK뷰 주상복합,1017
세븐일레븐화성봉담수기점,자동,경기 화성시 세자로 358 ,1017
포항오거리CU복권,자동,경북 포항시 북구 죽도로 33 CU포항오거리점내,1017
삼정상회,자동,경남 김해시 활천로 23 가동 109호 복권판매점,1017
목화휴게소,자동,경남 사천시 사천대로 912 ,1017
신세계,자동,제주 제주시 고마로14길 7 ,1017
지원물산,자동,"서울 노원구 공릉로 108,(공릉동) ",1018
로또 명당,자동,대구 동구 화랑로75길 69 ,1018
초원복권 신창점,자동,광주 광산구 신창로 76 1층,1018
대전우표사,자동,대전 동구 중앙로204번길 16-1 ,1018
대한유통,자동,울산 북구 박상진11로 1 1층112호,1018
몽키버블티,자동,경기 군포시 고산로250번길 27 1층 일부호(당동),1018
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1018
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1018
행운복권방,수동,경기 안성시 서동대로 7184 1층 복권방,1018
로또복권합정점,수동,경기 평택시 중앙로 176 127호 평택합정 SK뷰 주상복합,1018
세븐일레븐화성봉담수기점,자동,경기 화성시 세자로 358 ,1018
포항오거리CU복권,자동,경북 포항시 북구 죽도로 33 CU포항오거리점내,1018
삼정상회,자동,경남 김해시 활천로 23 가동 109호 복권판매점,1018
목화휴게소,자동,경남 사천시 사천대로 912 ,1018
신세계,자동,제주 제주시 고마로14길 7 ,1018
지원물산,자동,"서울 노원구 공릉로 108,(공릉동) ",1019
로또 명당,자동,대구 동구 화랑로75길 69 ,1019
초원복권 신창점,자동,광주 광산구 신창로 76 1층,1019
대전우표사,자동,대전 동구 중앙로204번길 16-1 ,1019
대한유통,자동,울산 북구 박상진11로 1 1층112호,1019
몽키버블티,자동,경기 군포시 고산로250번길 27 1층 일부호(당동),1019
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1019
