상호명,구분,주소,회차
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1019
행운복권방,수동,경기 안성시 서동대로 7184 1층 복권방,1019
로또복권합정점,수동,경기 평택시 중앙로 176 127호 평택합정 SK뷰 주상복합,1019
세븐일레븐화성봉담수기점,자동,경기 화성시 세자로 358 ,1019
포항오거리CU복권,자동,경북 포항시 북구 죽도로 33 CU포항오거리점내,1019
삼정상회,자동,경남 김해시 활천로 23 가동 109호 복권판매점,1019
목화휴게소,자동,경남 사천시 사천대로 912 ,1019
신세계,자동,제주 제주시 고마로14길 7 ,1019
지원물산,자동,"서울 노원구 공릉로 108,(공릉동) ",1020
로또 명당,자동,대구 동구 화랑로75길 69 ,1020
초원복권 신창점,자동,광주 광산구 신창로 76 1층,1020
대전우표사,자동,대전 동구 중앙로204번길 16-1 ,1020
대한유통,자동,울산 북구 박상진11로 1 1층112호,1020
몽키버블티,자동,경기 군포시 고산로250번길 27 1층 일부호(당동),1020
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1020
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1020
행운복권방,수동,경기 안성시 서동대로 7184 1층 복권방,1020
로또복권합정점,수동,경기 평택시 중앙로 176 127호 평택합정 SK뷰 주상복합,1020
세븐일레븐화성봉담수기점,자동,경기 화성시 세자로 358 ,1020
포항오거리CU복권,자동,경북 포항시 북구 죽도로 33 CU포항오거리점내,1020
삼정상회,자동,경남 김해시 활천로 23 가동 109호 복권판매점,1020
목화휴게소,자동,경남 사천시 사천대로 912 ,1020
신세계,자동,제주 제주시 고마로14길 7 ,1020
지원물산,자동,"서울 노원구 공릉로 108,(공릉동) ",1021
로또 명당,자동,대구 동구 화랑로75길 69 ,1021
초원복권 신창점,자동,광주 광산구 신창로 76 1층,1021
대전우표사,자동,대전 동구 중앙로204번길 16-1 ,1021
대한유통,자동,울산 북구 박상진11로 1 1층112호,1021
몽키버블티,자동,경기 군포시 고산로250번길 27 1층 일부호(당동),1021
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1021
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1021
행운복권방,수동,경기 안성시 서동대로 7184 1층 복권방,1021
로또복권합정점,수동,경기 평택시 중앙로 176 127호 평택합정 SK뷰 주상복합,1021
세븐일레븐화성봉담수기점,자동,경기 화성시 세자로 358 ,1021
포항오거리CU복권,자동,경북 포항시 북구 죽도로 33 CU포항오거리점내,1021
삼정상회,자동,경남 김해시 활천로 23 가동 109호 복권판매점,1021
목화휴게소,자동,경남 사천시 사천대로 912 ,1021
신세계,자동,제주 제주시 고마로14길 7 ,1021
지원물산,자동,"서울 노원구 공릉로 108,(공릉동) ",1022
로또 명당,자동,대구 동구 화랑로75길 69 ,1022
초원복권 신창점,자동,광주 광산구 신창로 76 1층,1022
대전우표사,자동,대전 동구 중앙로204번길 16-1 ,1022
대한유통,자동,울산 북구 박상진11로 1 1층112호,1022
몽키버블티,자동,경기 군포시 고산로250번길 27 1층 일부호(당동),1022
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1022
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1022
행운복권방,수동,경기 안성시 서동대로 7184 1층 복권방,1022
로또복권합정점,수동,경기 평택시 중앙로 176 127호 평택합정 SK뷰 주상복합,1022
세븐일레븐화성봉담수기점,자동,경기 화성시 세자로 358 ,1022
포항오거리CU복권,자동,경북 포항시 북구 죽도로 33 CU포항오거리점내,1022
삼정상회,자동,경남 김해시 활천로 23 가동 109호 복권판매점,1022
목화휴게소,자동,경남 사천시 사천대로 912 ,1022
신세계,자동,제주 제주시 고마로14길 7 ,1022
지원물산,자동,"서울 노원구 공릉로 108,(공릉동) ",1023
로또 명당,자동,대구 동구 화랑로75길 69 ,1023
초원복권 신창점,자동,광주 광산구 신창로 76 1층,1023
대전우표사,자동,대전 동구 중앙로204번길 16-1 ,1023
대한유통,자동,울산 북구 박상진11로 1 1층112호,1023
몽키버블티,자동,경기 군포시 고산로250번길 27 1층 일부호(당동),1023
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1023
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1023
행운복권방,수동,경기 안성시 서동대로 7184 1층 복권방,1023
로또복권합정점,수동,경기 평택시 중앙로 176 127호 평택합정 SK뷰 주상복합,1023
세븐일레븐화성봉담수기점,자동,경기 화성시 세자로 358 ,1023
포항오거리CU복권,자동,경북 포항시 북구 죽도로 33 CU포항오거리점내,1023
삼정상회,자동,경남 김해시 활천로 23 가동 109호 복권판매점,1023
목화휴게소,자동,경남 사천시 사천대로 912 ,1023
신세계,자동,제주 제주시 고마로14길 7 ,1023
지원물산,자동,"서울 노원구 공릉로 108,(공릉동) ",1024
로또 명당,자동,대구 동구 화랑로75길 69 ,1024
초원복권 신창점,자동,광주 광산구 신창로 76 1층,1024
대전우표사,자동,대전 동구 중앙로204번길 16-1 ,1024
대한유통,자동,울산 북구 박상진11로 1 1층112호,1024
몽키버블티,자동,경기 군포시 고산로250번길 27 1층 일부호(당동),1024
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1024
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1024
행운복권방,수동,경기 안성시 서동대로 7184 1층 복권방,1024
로또복권합정점,수동,경기 평택시 중앙로 176 127호 평택합정 SK뷰 주상복합,1024
세븐일레븐화성봉담수기점,자동,경기 화성시 세자로 358 ,1024
포항오거리CU복권,자동,경북 포항시 북구 죽도로 33 CU포항오거리점내,1024
삼정상회,자동,경남 김해시 활천로 23 가동 109호 복권판매점,1024
목화휴게소,자동,경남 사천시 사천대로 912 ,1024
신세계,자동,제주 제주시 고마로14길 7 ,1024
지원물산,자동,"서울 노원구 공릉로 108,(공릉동) ",1025
로또 명당,자동,대구 동구 화랑로75길 69 ,1025
초원복권 신창점,자동,광주 광산구 신창로 76 1층,1025
대전우표사,자동,대전 동구 중앙로204번길 16-1 ,1025
대한유통,자동,울산 북구 박상진11로 1 1층112호,1025
몽키버블티,자동,경기 군포시 고산로250번길 27 1층 일부호(당동),1025
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1025
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1025
행운복권방,수동,경기 안성시 서동대로 7184 1층 복권방,1025
로또복권합정점,수동,경기 평택시 중앙로 176 127호 평택합정 SK뷰 주상복합,1025
세븐일레븐화성봉담수기점,자동,경기 화성시 세자로 358 ,1025
포항오거리CU복권,자동,경북 포항시 북구 죽도로 33 CU포항오거리점내,1025
삼정상회,자동,경남 김해시 활천로 23 가동 109호 복권판매점,1025
목화휴게소,자동,경남 사천시 사천대로 912 ,1025
신세계,자동,제주 제주시 고마로14길 7 ,1025
지원물산,자동,"서울 노원구 공릉로 108,(공릉동) ",1026
로또 명당,자동,대구 동구 화랑로75길 69 ,1026
초원복권 신창점,자동,광주 광산구 신창로 76 1층,1026
대전우표사,자동,대전 동구 중앙로204번길 16-1 ,1026
대한유통,자동,울산 북구 박상진11로 1 1층112호,1026
몽키버블티,자동,경기 군포시 고산로250번길 27 1층 일부호(당동),1026
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1026
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1026
행운복권방,수동,경기 안성시 서동대로 7184 1층 복권방,1026
로또복권합정점,수동,경기 평택시 중앙로 176 127호 평택합정 SK뷰 주상복합,1026
세븐일레븐화성봉담수기점,자동,경기 화성시 세자로 358 ,1026
포항오거리CU복권,자동,경북 포항시 북구 죽도로 33 CU포항오거리점내,1026
삼정상회,자동,경남 김해시 활천로 23 가동 109호 복권판매점,1026
목화휴게소,자동,경남 사천시 사천대로 912 ,1026
신세계,자동,제주 제주시 고마로14길 7 ,1026
지원물산,자동,"서울 노원구 공릉로 108,(공릉동) ",1027
로또 명당,자동,대구 동구 화랑로75길 69 ,1027
초원복권 신창점,자동,광주 광산구 신창로 76 1층,1027
대전우표사,자동,대전 동구 중앙로204번길 16-1 ,1027
대한유통,자동,울산 북구 박상진11로 1 1층112호,1027
몽키버블티,자동,경기 군포시 고산로250번길 27 1층 일부호(당동),1027
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1027
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1027
행운복권방,수동,경기 안성시 서동대로 7184 1층 복권방,1027
로또복권합정점,수동,경기 평택시 중앙로 176 127호 평택합정 SK뷰 주상복합,1027
세븐일레븐화성봉담수기점,자동,경기 화성시 세자로 358 ,1027
포항오거리CU복권,자동,경북 포항시 북구 죽도로 33 CU포항오거리점내,1027
삼정상회,자동,경남 김해시 활천로 23 가동 109호 복권판매점,1027
목화휴게소,자동,경남 사천시 사천대로 912 ,1027
신세계,자동,제주 제주시 고마로14길 7 ,1027
지원물산,자동,"서울 노원구 공릉로 108,(공릉동) ",1028
로또 명당,자동,대구 동구 화랑로75길 69 ,1028
초원복권 신창점,자동,광주 광산구 신창로 76 1층,1028
대전우표사,자동,대전 동구 중앙로204번길 16-1 ,1028
대한유통,자동,울산 북구 박상진11로 1 1층112호,1028
몽키버블티,자동,경기 군포시 고산로250번길 27 1층 일부호(당동),1028
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1028
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1028
행운복권방,수동,경기 안성시 서동대로 7184 1층 복권방,1028
로또복권합정점,수동,경기 평택시 중앙로 176 127호 평택합정 SK뷰 주상복합,1028
세븐일레븐화성봉담수기점,자동,경기 화성시 세자로 358 ,1028
포항오거리CU복권,자동,경북 포항시 북구 죽도로 33 CU포항오거리점내,1028
삼정상회,자동,경남 김해시 활천로 23 가동 109호 복권판매점,1028
목화휴게소,자동,경남 사천시 사천대로 912 ,1028
신세계,자동,제주 제주시 고마로14길 7 ,1028
지원물산,자동,"서울 노원구 공릉로 108,(공릉동) ",1029
로또 명당,자동,대구 동구 화랑로75길 69 ,1029
초원복권 신창점,자동,광주 광산구 신창로 76 1층,1029
대전우표사,자동,대전 동구 중앙로204번길 16-1 ,1029
대한유통,자동,울산 북구 박상진11로 1 1층112호,1029
몽키버블티,자동,경기 군포시 고산로250번길 27 1층 일부호(당동),1029
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1029
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1029
행운복권방,수동,경기 안성시 서동대로 7184 1층 복권방,1029
로또복권합정점,수동,경기 평택시 중앙로 176 127호 평택합정 SK뷰 주상복합,1029
세븐일레븐화성봉담수기점,자동,경기 화성시 세자로 358 ,1029
포항오거리CU복권,자동,경북 포항시 북구 죽도로 33 CU포항오거리점내,1029
삼정상회,자동,경남 김해시 활천로 23 가동 109호 복권판매점,1029
목화휴게소,자동,경남 사천시 사천대로 912 ,1029
신세계,자동,제주 제주시 고마로14길 7 ,1029
지원물산,자동,"서울 노원구 공릉로 108,(공릉동) ",1030
로또 명당,자동,대구 동구 화랑로75길 69 ,1030
초원복권 신창점,자동,광주 광산구 신창로 76 1층,1030
대전우표사,자동,대전 동구 중앙로204번길 16-1 ,1030
대한유통,자동,울산 북구 박상진11로 1 1층112호,1030
몽키버블티,자동,경기 군포시 고산로250번길 27 1층 일부호(당동),1030
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1030
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1030
행운복권방,수동,경기 안성시 서동대로 7184 1층 복권방,1030
로또복권합정점,수동,경기 평택시 중앙로 176 127호 평택합정 SK뷰 주상복합,1030
세븐일레븐화성봉담수기점,자동,경기 화성시 세자로 358 ,1030
포항오거리CU복권,자동,경북 포항시 북구 죽도로 33 CU포항오거리점내,1030
삼정상회,자동,경남 김해시 활천로 23 가동 109호 복권판매점,1030
목화휴게소,자동,경남 사천시 사천대로 912 ,1030
신세계,자동,제주 제주시 고마로14길 7 ,1030
지원물산,자동,"서울 노원구 공릉로 108,(공릉동) ",1031
로또 명당,자동,대구 동구 화랑로75길 69 ,1031
초원복권 신창점,자동,광주 광산구 신창로 76 1층,1031
대전우표사,자동,대전 동구 중앙로204번길 16-1 ,1031
대한유통,자동,울산 북구 박상진11로 1 1층112호,1031
몽키버블티,자동,경기 군포시 고산로250번길 27 1층 일부호(당동),1031
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1031
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1031
행운복권방,수동,경기 안성시 서동대로 7184 1층 복권방,1031
로또복권합정점,수동,경기 평택시 중앙로 176 127호 평택합정 SK뷰 주상복합,1031
세븐일레븐화성봉담수기점,자동,경기 화성시 세자로 358 ,1031
포항오거리CU복권,자동,경북 포항시 북구 죽도로 33 CU포항오거리점내,1031
삼정상회,자동,경남 김해시 활천로 23 가동 109호 복권판매점,1031
목화휴게소,자동,경남 사천시 사천대로 912 ,1031
신세계,자동,제주 제주시 고마로14길 7 ,1031
지원물산,자동,"서울 노원구 공릉로 108,(공릉동) ",1032
로또 명당,자동,대구 동구 화랑로75길 69 ,1032
초원복권 신창점,자동,광주 광산구 신창로 76 1층,1032
대전우표사,자동,대전 동구 중앙로204번길 16-1 ,1032
대한유통,자동,울산 북구 박상진11로 1 1층112호,1032
몽키버블티,자동,경기 군포시 고산로250번길 27 1층 일부호(당동),1032
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1032
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1032
행운복권방,수동,경기 안성시 서동대로 7184 1층 복권방,1032
로또복권합정점,수동,경기 평택시 중앙로 176 127호 평택합정 SK뷰 주상복합,1032
세븐일레븐화성봉담수기점,자동,경기 화성시 세자로 358 ,1032
포항오거리CU복권,자동,경북 포항시 북구 죽도로 33 CU포항오거리점내,1032
삼정상회,자동,경남 김해시 활천로 23 가동 109호 복권판매점,1032
목화휴게소,자동,경남 사천시 사천대로 912 ,1032
신세계,자동,제주 제주시 고마로14길 7 ,1032
지원물산,자동,"서울 노원구 공릉로 108,(공릉동) ",1033
로또 명당,자동,대구 동구 화랑로75길 69 ,1033
초원복권 신창점,자동,광주 광산구 신창로 76 1층,1033
대전우표사,자동,대전 동구 중앙로204번길 16-1 ,1033
대한유통,자동,울산 북구 박상진11로 1 1층112호,1033
몽키버블티,자동,경기 군포시 고산로250번길 27 1층 일부호(당동),1033
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1033
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1033
행운복권방,수동,경기 안성시 서동대로 7184 1층 복권방,1033
로또복권합정점,수동,경기 평택시 중앙로 176 127호 평택합정 SK뷰 주상복합,1033
세븐일레븐화성봉담수기점,자동,경기 화성시 세자로 358 ,1033
포항오거리CU복권,자동,경북 포항시 북구 죽도로 33 CU포항오거리점내,1033
삼정상회,자동,경남 김해시 활천로 23 가동 109호 복권판매점,1033
목화휴게소,자동,경남 사천시 사천대로 912 ,1033
신세계,자동,제주 제주시 고마로14길 7 ,1033
지원물산,자동,"서울 노원구 공릉로 108,(공릉동) ",1034
로또 명당,자동,대구 동구 화랑로75길 69 ,1034
초원복권 신창점,자동,광주 광산구 신창로 76 1층,1034
대전우표사,자동,대전 동구 중앙로204번길 16-1 ,1034
대한유통,자동,울산 북구 박상진11로 1 1층112호,1034
몽키버블티,자동,경기 군포시 고산로250번길 27 1층 일부호(당동),1034
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1034
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1034
행운복권방,수동,경기 안성시 서동대로 7184 1층 복권방,1034
로또복권합정점,수동,경기 평택시 중앙로 176 127호 평택합정 SK뷰 주상복합,1034
세븐일레븐화성봉담수기점,자동,경기 화성시 세자로 358 ,1034
포항오거리CU복권,자동,경북 포항시 북구 죽도로 33 CU포항오거리점내,1034
삼정상회,자동,경남 김해시 활천로 23 가동 109호 복권판매점,1034
목화휴게소,자동,경남 사천시 사천대로 912 ,1034
신세계,자동,제주 제주시 고마로14길 7 ,1034
지원물산,자동,"서울 노원구 공릉로 108,(공릉동) ",1035
로또 명당,자동,대구 동구 화랑로75길 69 ,1035
초원복권 신창점,자동,광주 광산구 신창로 76 1층,1035
대전우표사,자동,대전 동구 중앙로204번길 16-1 ,1035
대한유통,자동,울산 북구 박상진11로 1 1층112호,1035
몽키버블티,자동,경기 군포시 고산로250번길 27 1층 일부호(당동),1035
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1035
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1035
행운복권방,수동,경기 안성시 서동대로 7184 1층 복권방,1035
로또복권합정점,수동,경기 평택시 중앙로 176 127호 평택합정 SK뷰 주상복합,1035
세븐일레븐화성봉담수기점,자동,경기 화성시 세자로 358 ,1035
포항오거리CU복권,자동,경북 포항시 북구 죽도로 33 CU포항오거리점내,1035
삼정상회,자동,경남 김해시 활천로 23 가동 109호 복권판매점,1035
목화휴게소,자동,경남 사천시 사천대로 912 ,1035
신세계,자동,제주 제주시 고마로14길 7 ,1035
지원물산,자동,"서울 노원구 공릉로 108,(공릉동) ",1036
로또 명당,자동,대구 동구 화랑로75길 69 ,1036
초원복권 신창점,자동,광주 광산구 신창로 76 1층,1036
대전우표사,자동,대전 동구 중앙로204번길 16-1 ,1036
대한유통,자동,울산 북구 박상진11로 1 1층112호,1036
몽키버블티,자동,경기 군포시 고산로250번길 27 1층 일부호(당동),1036
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1036
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1036
행운복권방,수동,경기 안성시 서동대로 7184 1층 복권방,1036
로또복권합정점,수동,경기 평택시 중앙로 176 127호 평택합정 SK뷰 주상복합,1036
세븐일레븐화성봉담수기점,자동,경기 화성시 세자로 358 ,1036
포항오거리CU복권,자동,경북 포항시 북구 죽도로 33 CU포항오거리점내,1036
삼정상회,자동,경남 김해시 활천로 23 가동 109호 복권판매점,1036
목화휴게소,자동,경남 사천시 사천대로 912 ,1036
신세계,자동,제주 제주시 고마로14길 7 ,1036
지원물산,자동,"서울 노원구 공릉로 108,(공릉동) ",1037
로또 명당,자동,대구 동구 화랑로75길 69 ,1037
초원복권 신창점,자동,광주 광산구 신창로 76 1층,1037
대전우표사,자동,대전 동구 중앙로204번길 16-1 ,1037
대한유통,자동,울산 북구 박상진11로 1 1층112호,1037
몽키버블티,자동,경기 군포시 고산로250번길 27 1층 일부호(당동),1037
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1037
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1037
행운복권방,수동,경기 안성시 서동대로 7184 1층 복권방,1037
로또복권합정점,수동,경기 평택시 중앙로 176 127호 평택합정 SK뷰 주상복합,1037
세븐일레븐화성봉담수기점,자동,경기 화성시 세자로 358 ,1037
포항오거리CU복권,자동,경북 포항시 북구 죽도로 33 CU포항오거리점내,1037
삼정상회,자동,경남 김해시 활천로 23 가동 109호 복권판매점,1037
목화휴게소,자동,경남 사천시 사천대로 912 ,1037
신세계,자동,제주 제주시 고마로14길 7 ,1037
지원물산,자동,"서울 노원구 공릉로 108,(공릉동) ",1038
로또 명당,자동,대구 동구 화랑로75길 69 ,1038
초원복권 신창점,자동,광주 광산구 신창로 76 1층,1038
대전우표사,자동,대전 동구 중앙로204번길 16-1 ,1038
대한유통,자동,울산 북구 박상진11로 1 1층112호,1038
몽키버블티,자동,경기 군포시 고산로250번길 27 1층 일부호(당동),1038
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1038
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1038
행운복권방,수동,경기 안성시 서동대로 7184 1층 복권방,1038
로또복권합정점,수동,경기 평택시 중앙로 176 127호 평택합정 SK뷰 주상복합,1038
세븐일레븐화성봉담수기점,자동,경기 화성시 세자로 358 ,1038
포항오거리CU복권,자동,경북 포항시 북구 죽도로 33 CU포항오거리점내,1038
삼정상회,자동,경남 김해시 활천로 23 가동 109호 복권판매점,1038
목화휴게소,자동,경남 사천시 사천대로 912 ,1038
신세계,자동,제주 제주시 고마로14길 7 ,1038
