elevatorNo,lastInspctDe,inspctInstt,lastResultNm
81201,2022-05-24,한국승강기안전공단 서울서부지사,합격
42569,2022-10-11,한국승강기안전공단 서울서부지사,합격
42570,2022-10-11,한국승강기안전공단 서울서부지사,조건부합격
104893,2022-11-03,한국승강기안전공단 서울서부지사,조건부합격
4213,2022-11-03,한국승강기안전공단 서울서부지사,조건부합격
120103,2022-09-06,한국승강기안전공단 서울서부지사,조건후합격
68472,2021-10-18,한국승강기안전공단 서울서부지사,합격
83623,2022-02-11,한국승강기안전공단 서울서부지사,합격
4227,2022-08-16,한국승강기안전공단 서울서부지사,합격
103615,2022-08-16,한국승강기안전공단 서울서부지사,조건부합격
41811,2022-07-12,한국승강기안전공단 서울서부지사,합격
105742,2022-09-28,한국승강기안전공단 서울서부지사,조건부합격
105743,2022-09-28,한국승강기안전공단 서울서부지사,합격
103174,2022-10-11,한국승강기안전공단 서울서부지사,합격
120304,2022-07-21,한국승강기안전공단 서울서부지사,합격
138790,2022-02-18,한국승강기안전공단 서울서부지사,합격
150214,2022-08-18,한국승강기안전공단 서울서부지사,합격
74954,2022-09-19,한국승강기안전공단 서울서부지사,조건부합격
39283,2022-05-27,한국승강기안전공단 서울서부지사,합격
125129,2022-06-27,한국승강기안전공단 서울서부지사,합격
120302,2022-06-27,한국승강기안전공단 서울서부지사,합격
120303,2022-06-27,한국승강기안전공단 서울서부지사,합격
41739,2022-08-16,한국승강기안전공단 서울서부지사,합격
41737,2022-08-16,한국승강기안전공단 서울서부지사,조건부합격
41738,2022-08-16,한국승강기안전공단 서울서부지사,합격
129256,2022-07-28,한국승강기안전공단 서울서부지사,합격
80675,2021-07-29,한국승강기안전공단 서울서부지사,조건부합격
6130,2022-06-20,(재)승강기안전기술연구원 서울지원,합격
73834,2022-05-09,한국승강기안전공단 서울서부지사,조건후합격
84992,2022-04-04,한국승강기안전공단 서울서부지사,조건후합격
89125,2022-09-22,한국승강기안전공단 서울서부지사,조건부합격
116380,2022-09-07,한국승강기안전공단 서울서부지사,합격
88931,2022-08-09,한국승강기안전공단 서울서부지사,합격
152633,2022-03-18,한국승강기안전공단 서울서부지사,보완후합격
136892,2022-09-27,한국승강기안전공단 서울서부지사,합격
125354,2022-10-19,한국승강기안전공단 서울서부지사,조건부합격
84748,2022-01-11,(재)승강기안전기술연구원 서울지원,합격
146060,2022-10-13,한국승강기안전공단 서울서부지사,조건후합격
113823,2022-11-01,(재)승강기안전기술연구원 서울지원,조건부합격
116397,2021-07-16,한국승강기안전공단 서울서부지사,합격
116398,2022-10-20,(재)승강기안전기술연구원 서울지원,조건후합격
38838,2022-08-10,한국승강기안전공단 서울서부지사,합격
150066,2021-09-15,한국승강기안전공단 서울서부지사,조건후합격
150067,2021-09-15,한국승강기안전공단 서울서부지사,조건후합격
150065,2021-09-15,한국승강기안전공단 서울서부지사,조건후합격
150016,2021-09-15,한국승강기안전공단 서울서부지사,조건후합격
150017,2021-09-15,한국승강기안전공단 서울서부지사,조건후합격
150018,2021-09-15,한국승강기안전공단 서울서부지사,조건후합격
150019,2021-09-15,한국승강기안전공단 서울서부지사,조건후합격
150041,2021-09-15,한국승강기안전공단 서울서부지사,조건후합격
150042,2021-09-15,한국승강기안전공단 서울서부지사,조건후합격
150136,2021-09-15,한국승강기안전공단 서울서부지사,조건후합격
150137,2021-09-15,한국승강기안전공단 서울서부지사,조건후합격
150138,2021-09-15,한국승강기안전공단 서울서부지사,조건후합격
150139,2021-09-15,한국승강기안전공단 서울서부지사,조건후합격
150068,2021-09-15,한국승강기안전공단 서울서부지사,조건후합격
150069,2021-09-15,한국승강기안전공단 서울서부지사,조건후합격
150046,2021-09-15,한국승강기안전공단 서울서부지사,조건후합격
150343,2021-09-30,한국승강기안전공단 서울서부지사,보완후합격
150181,2021-09-15,한국승강기안전공단 서울서부지사,조건후합격
150182,2021-09-15,한국승강기안전공단 서울서부지사,조건후합격
150183,2021-09-15,한국승강기안전공단 서울서부지사,조건후합격
150184,2021-09-15,한국승강기안전공단 서울서부지사,조건후합격
150344,2021-09-30,한국승강기안전공단 서울서부지사,합격
152585,2022-03-08,한국승강기안전공단 서울서부지사,보완후합격
152587,2022-03-08,한국승강기안전공단 서울서부지사,보완후합격
152584,2022-03-08,한국승강기안전공단 서울서부지사,보완후합격
152586,2022-03-08,한국승강기안전공단 서울서부지사,보완후합격
152612,2022-03-08,한국승강기안전공단 서울서부지사,보완후합격
150171,2022-03-08,한국승강기안전공단 서울서부지사,조건후합격
150172,2022-03-08,한국승강기안전공단 서울서부지사,조건후합격
150173,2022-03-08,한국승강기안전공단 서울서부지사,조건후합격
150174,2022-03-08,한국승강기안전공단 서울서부지사,조건후합격
150193,2022-03-08,한국승강기안전공단 서울서부지사,조건후합격
150194,2022-03-08,한국승강기안전공단 서울서부지사,조건후합격
150188,2022-03-08,한국승강기안전공단 서울서부지사,조건후합격
150189,2022-03-08,한국승강기안전공단 서울서부지사,조건후합격
150190,2022-03-08,한국승강기안전공단 서울서부지사,조건후합격
150191,2022-03-08,한국승강기안전공단 서울서부지사,조건후합격
150235,2022-03-08,한국승강기안전공단 서울서부지사,조건후합격
150236,2022-03-08,한국승강기안전공단 서울서부지사,조건후합격
150233,2022-03-08,한국승강기안전공단 서울서부지사,조건후합격
150234,2022-03-08,한국승강기안전공단 서울서부지사,조건후합격
150414,2022-03-08,한국승강기안전공단 서울서부지사,조건후합격
150415,2022-03-08,한국승강기안전공단 서울서부지사,조건후합격
150416,2022-03-08,한국승강기안전공단 서울서부지사,조건후합격
150417,2022-03-08,한국승강기안전공단 서울서부지사,조건후합격
150418,2022-03-08,한국승강기안전공단 서울서부지사,조건후합격
150419,2022-03-08,한국승강기안전공단 서울서부지사,조건후합격
150420,2022-03-08,한국승강기안전공단 서울서부지사,조건후합격
150491,2022-03-08,한국승강기안전공단 서울서부지사,조건후합격
150492,2022-03-08,한국승강기안전공단 서울서부지사,조건후합격
150493,2022-03-08,한국승강기안전공단 서울서부지사,조건후합격
150486,2022-03-08,한국승강기안전공단 서울서부지사,조건후합격
150487,2022-03-08,한국승강기안전공단 서울서부지사,조건후합격
150488,2022-03-08,한국승강기안전공단 서울서부지사,조건후합격
150331,2022-03-08,한국승강기안전공단 서울서부지사,조건후합격
150332,2022-03-08,한국승강기안전공단 서울서부지사,조건후합격
150333,2022-03-08,한국승강기안전공단 서울서부지사,조건후합격
146088,2022-11-02,한국승강기안전공단 서울서부지사,합격
136895,2022-09-05,한국승강기안전공단 서울서부지사,조건후합격
136896,2022-09-05,한국승강기안전공단 서울서부지사,조건후합격
136825,2022-09-05,한국승강기안전공단 서울서부지사,조건후합격
136826,2022-09-05,한국승강기안전공단 서울서부지사,조건후합격
136827,2022-09-05,한국승강기안전공단 서울서부지사,조건후합격
138748,2022-09-05,한국승강기안전공단 서울서부지사,조건후합격
138749,2022-09-05,한국승강기안전공단 서울서부지사,조건후합격
138750,2022-09-05,한국승강기안전공단 서울서부지사,조건후합격
136921,2022-09-05,한국승강기안전공단 서울서부지사,조건후합격
136922,2022-09-05,한국승강기안전공단 서울서부지사,조건후합격
136923,2022-09-05,한국승강기안전공단 서울서부지사,조건후합격
136924,2022-09-05,한국승강기안전공단 서울서부지사,조건후합격
138717,2022-09-05,한국승강기안전공단 서울서부지사,조건후합격
138715,2022-09-05,한국승강기안전공단 서울서부지사,조건후합격
138716,2022-09-05,한국승강기안전공단 서울서부지사,조건후합격
138718,2022-09-05,한국승강기안전공단 서울서부지사,조건후합격
143710,2022-09-05,한국승강기안전공단 서울서부지사,조건후합격
136999,2022-09-05,한국승강기안전공단 서울서부지사,조건후합격
137000,2022-09-05,한국승강기안전공단 서울서부지사,조건후합격
137001,2022-09-05,한국승강기안전공단 서울서부지사,조건후합격
136991,2022-09-05,한국승강기안전공단 서울서부지사,조건후합격
136992,2022-09-05,한국승강기안전공단 서울서부지사,조건후합격
136993,2022-09-05,한국승강기안전공단 서울서부지사,조건후합격
137002,2022-09-05,한국승강기안전공단 서울서부지사,조건후합격
137003,2022-09-05,한국승강기안전공단 서울서부지사,조건후합격
137004,2022-09-05,한국승강기안전공단 서울서부지사,조건후합격
136994,2022-09-05,한국승강기안전공단 서울서부지사,조건후합격
138751,2022-09-05,한국승강기안전공단 서울서부지사,조건후합격
138752,2022-09-05,한국승강기안전공단 서울서부지사,조건후합격
138753,2022-09-05,한국승강기안전공단 서울서부지사,조건후합격
138690,2022-09-05,한국승강기안전공단 서울서부지사,조건후합격
138691,2022-09-05,한국승강기안전공단 서울서부지사,조건후합격
138692,2022-09-05,한국승강기안전공단 서울서부지사,조건후합격
138697,2022-09-05,한국승강기안전공단 서울서부지사,조건후합격
143713,2022-07-26,한국승강기안전공단 서울서부지사,불합격
143714,2022-08-25,한국승강기안전공단 서울서부지사,조건후합격
143715,2022-07-26,한국승강기안전공단 서울서부지사,합격
143716,2022-08-25,한국승강기안전공단 서울서부지사,조건후합격
3235,2022-04-13,(재)승강기안전기술연구원 서울지원,조건후합격
3236,2022-04-13,(재)승강기안전기술연구원 서울지원,조건후합격
3238,2022-04-13,(재)승강기안전기술연구원 서울지원,조건후합격
3237,2022-04-13,(재)승강기안전기술연구원 서울지원,조건후합격
150195,2022-03-08,한국승강기안전공단 서울서부지사,조건후합격
150428,2022-03-08,한국승강기안전공단 서울서부지사,조건후합격
150429,2022-03-08,한국승강기안전공단 서울서부지사,조건후합격
150304,2022-03-08,한국승강기안전공단 서울서부지사,조건후합격
150305,2022-03-08,한국승강기안전공단 서울서부지사,조건후합격
150334,2022-03-08,한국승강기안전공단 서울서부지사,조건후합격
2997,2022-03-28,한국승강기안전공단 서울서부지사,합격
2995,2022-03-28,한국승강기안전공단 서울서부지사,합격
2996,2022-03-28,한국승강기안전공단 서울서부지사,합격
39213,2022-04-06,한국승강기안전공단 서울서부지사,합격
39215,2022-04-06,한국승강기안전공단 서울서부지사,합격
39216,2022-04-06,한국승강기안전공단 서울서부지사,합격
39218,2022-04-06,한국승강기안전공단 서울서부지사,합격
39217,2022-10-14,한국승강기안전공단 서울서부지사,조건부합격
39731,2022-10-14,한국승강기안전공단 서울서부지사,조건부합격
39729,2022-10-14,한국승강기안전공단 서울서부지사,합격
39730,2022-10-14,한국승강기안전공단 서울서부지사,합격
39214,2022-04-06,한국승강기안전공단 서울서부지사,합격
39219,2022-04-06,한국승강기안전공단 서울서부지사,합격
68105,2022-09-13,한국승강기안전공단 서울서부지사,조건후합격
68106,2022-09-13,한국승강기안전공단 서울서부지사,조건후합격
68101,2022-09-13,한국승강기안전공단 서울서부지사,조건후합격
68102,2022-08-14,한국승강기안전공단 서울서부지사,합격
68103,2022-09-13,한국승강기안전공단 서울서부지사,조건후합격
68104,2022-09-13,한국승강기안전공단 서울서부지사,조건후합격
40527,2022-04-12,(재)승강기안전기술연구원 서울지원,조건후합격
40528,2022-04-12,(재)승강기안전기술연구원 서울지원,조건후합격
102829,2022-04-04,(재)승강기안전기술연구원 서울지원,조건후합격
42934,2022-04-04,(재)승강기안전기술연구원 서울지원,조건후합격
42935,2022-04-04,(재)승강기안전기술연구원 서울지원,조건후합격
40537,2022-03-10,(재)승강기안전기술연구원 서울지원,합격
40536,2022-04-04,(재)승강기안전기술연구원 서울지원,조건후합격
38334,2022-10-05,한국승강기안전공단 서울서부지사,조건후합격
38336,2022-09-07,한국승강기안전공단 서울서부지사,합격
38331,2022-10-05,한국승강기안전공단 서울서부지사,조건후합격
38340,2022-10-05,한국승강기안전공단 서울서부지사,조건후합격
38337,2022-10-05,한국승강기안전공단 서울서부지사,조건후합격
38333,2022-09-07,한국승강기안전공단 서울서부지사,합격
38339,2022-10-05,한국승강기안전공단 서울서부지사,조건후합격
38332,2022-10-05,한국승강기안전공단 서울서부지사,조건후합격
38338,2022-10-05,한국승강기안전공단 서울서부지사,조건후합격
38335,2022-10-05,한국승강기안전공단 서울서부지사,조건후합격
50891,2022-09-16,한국승강기안전공단 서울서부지사,합격
50895,2022-10-11,한국승강기안전공단 서울서부지사,조건후합격
50898,2022-10-11,한국승강기안전공단 서울서부지사,조건후합격
50893,2022-10-11,한국승강기안전공단 서울서부지사,조건후합격
50894,2022-10-11,한국승강기안전공단 서울서부지사,조건후합격
50896,2022-10-11,한국승강기안전공단 서울서부지사,조건후합격
50897,2022-09-16,한국승강기안전공단 서울서부지사,합격
50892,2022-09-16,한국승강기안전공단 서울서부지사,합격
155002,2022-07-15,한국승강기안전공단 서울서부지사,합격
155003,2022-07-15,한국승강기안전공단 서울서부지사,합격
155004,2022-07-11,한국승강기안전공단 서울서부지사,보완후합격
155005,2022-07-11,한국승강기안전공단 서울서부지사,보완후합격
154984,2022-06-15,한국승강기안전공단 서울서부지사,보완후합격
154985,2022-06-15,한국승강기안전공단 서울서부지사,보완후합격
155230,2022-10-31,한국승강기안전공단 서울서부지사,보완후합격
155231,2022-10-31,한국승강기안전공단 서울서부지사,보완후합격
